b4f794ef33814848af1a75989a554370,0,Q7432
b4f794ef33814848af1a75989a554370,2,Q4167410
b4f794ef33814848af1a75989a554370,7,Q47018478
b4f794ef33814848af1a75989a554370,8,Q5151
b4f794ef33814848af1a75989a554370,10,Q3245245
b4f794ef33814848af1a75989a554370,11,Q26269989
b4f794ef33814848af1a75989a554370,14,Q677
b4f794ef33814848af1a75989a554370,15,Q731
b4f794ef33814848af1a75989a554370,16,Q1993436
b4f794ef33814848af1a75989a554370,17,Q706
b4f794ef33814848af1a75989a554370,18,Q19620
b4f794ef33814848af1a75989a554370,19,Q19636
b4f794ef33814848af1a75989a554370,20,Q688
b4f794ef33814848af1a75989a554370,23,Q11466
b4f794ef33814848af1a75989a554370,25,Q34740
b4f794ef33814848af1a75989a554370,26,Q108866087
b4f794ef33814848af1a75989a554370,28,Q11500
b4f794ef33814848af1a75989a554370,31,Q660
b4f794ef33814848af1a75989a554370,32,Q658
b4f794ef33814848af1a75989a554370,33,Q11579
b4f794ef33814848af1a75989a554370,34,Q19636
b4f794ef33814848af1a75989a554370,35,Q948
b4f794ef33814848af1a75989a554370,36,Q663
b4f794ef33814848af1a75989a554370,37,Q876
b4f794ef33814848af1a75989a554370,38,Q1091
b4f794ef33814848af1a75989a554370,39,Q706
