74fc7b22dac0461a8a522480483bae4a,2,Q16521
74fc7b22dac0461a8a522480483bae4a,3,Q24564698
74fc7b22dac0461a8a522480483bae4a,13,Q1801
74fc7b22dac0461a8a522480483bae4a,16,Q627
74fc7b22dac0461a8a522480483bae4a,17,Q623
74fc7b22dac0461a8a522480483bae4a,19,Q11579
74fc7b22dac0461a8a522480483bae4a,20,Q660
74fc7b22dac0461a8a522480483bae4a,21,Q706
74fc7b22dac0461a8a522480483bae4a,22,Q663
74fc7b22dac0461a8a522480483bae4a,23,Q19647
74fc7b22dac0461a8a522480483bae4a,24,Q677
74fc7b22dac0461a8a522480483bae4a,25,Q19647
74fc7b22dac0461a8a522480483bae4a,27,Q731
74fc7b22dac0461a8a522480483bae4a,28,Q658
74fc7b22dac0461a8a522480483bae4a,29,Q674
74fc7b22dac0461a8a522480483bae4a,31,Q758
74fc7b22dac0461a8a522480483bae4a,32,Q740
74fc7b22dac0461a8a522480483bae4a,33,Q753
74fc7b22dac0461a8a522480483bae4a,34,Q708
74fc7b22dac0461a8a522480483bae4a,35,Q938
74fc7b22dac0461a8a522480483bae4a,36,Q725
74fc7b22dac0461a8a522480483bae4a,37,Q744
74fc7b22dac0461a8a522480483bae4a,38,Q29539
74fc7b22dac0461a8a522480483bae4a,39,Q204570
74fc7b22dac0461a8a522480483bae4a,40,Q204570
74fc7b22dac0461a8a522480483bae4a,41,Q407142
74fc7b22dac0461a8a522480483bae4a,42,Q187607
